country,code,date,adoption_pct,gdp_per_capita,region
Afghanistan,AFG,2025-06-30,5.1,1983.8126,Asia
Afghanistan,AFG,2025-12-31,5.6,1983.8126,Asia
Afghanistan,AFG,2026-03-31,6.1,1983.8126,Asia
Albania,ALB,2025-06-30,15.8,21641.074,Europe
Albania,ALB,2025-12-31,16.5,21641.074,Europe
Albania,ALB,2026-03-31,18.5,21641.074,Europe
Algeria,DZA,2025-06-30,11.3,15501.92,Africa
Algeria,DZA,2025-12-31,12.0,15501.92,Africa
Algeria,DZA,2026-03-31,13.2,15501.92,Africa
Angola,AGO,2025-06-30,8.9,8901.888,Africa
Angola,AGO,2025-12-31,9.7,8901.888,Africa
Angola,AGO,2026-03-31,10.9,8901.888,Africa
Argentina,ARG,2025-06-30,17.8,26771.965,South America
Argentina,ARG,2025-12-31,19.6,26771.965,South America
Argentina,ARG,2026-03-31,21.9,26771.965,South America
Armenia,ARM,2025-06-30,6.2,20078.785,Asia
Armenia,ARM,2025-12-31,6.6,20078.785,Asia
Armenia,ARM,2026-03-31,7.4,20078.785,Asia
Australia,AUS,2025-06-30,34.5,60303.98,Oceania
Australia,AUS,2025-12-31,36.9,60303.98,Oceania
Australia,AUS,2026-03-31,39.5,60303.98,Oceania
Austria,AUT,2025-06-30,29.1,63788.08,Europe
Austria,AUT,2025-12-31,31.4,63788.08,Europe
Austria,AUT,2026-03-31,34.1,63788.08,Europe
Azerbaijan,AZE,2025-06-30,14.2,22072.148,Asia
Azerbaijan,AZE,2025-12-31,15.5,22072.148,Asia
Azerbaijan,AZE,2026-03-31,17.7,22072.148,Asia
Bangladesh,BGD,2025-06-30,6.5,8486.785,Asia
Bangladesh,BGD,2025-12-31,7.1,8486.785,Asia
Bangladesh,BGD,2026-03-31,7.8,8486.785,Asia
Belarus,BLR,2025-06-30,7.6,29040.973,Europe
Belarus,BLR,2025-12-31,8.4,29040.973,Europe
Belarus,BLR,2026-03-31,9.6,29040.973,Europe
Belgium,BEL,2025-06-30,33.5,63347.785,Europe
Belgium,BEL,2025-12-31,36.0,63347.785,Europe
Belgium,BEL,2026-03-31,39.0,63347.785,Europe
Benin,BEN,2025-06-30,8.7,3901.326,Africa
Benin,BEN,2025-12-31,9.3,3901.326,Africa
Benin,BEN,2026-03-31,10.1,3901.326,Africa
Bolivia,BOL,2025-06-30,10.9,11329.151,South America
Bolivia,BOL,2025-12-31,11.6,11329.151,South America
Bolivia,BOL,2026-03-31,12.7,11329.151,South America
Bosnia and Herzegovina,BIH,2025-06-30,18.2,20527.693,Europe
Bosnia and Herzegovina,BIH,2025-12-31,19.5,20527.693,Europe
Bosnia and Herzegovina,BIH,2026-03-31,22.1,20527.693,Europe
Botswana,BWA,2025-06-30,12.8,18068.506,Africa
Botswana,BWA,2025-12-31,13.7,18068.506,Africa
Botswana,BWA,2026-03-31,14.8,18068.506,Africa
Brazil,BRA,2025-06-30,15.6,19652.365,South America
Brazil,BRA,2025-12-31,17.1,19652.365,South America
Brazil,BRA,2026-03-31,19.1,19652.365,South America
Bulgaria,BGR,2025-06-30,25.4,34221.53,Europe
Bulgaria,BGR,2025-12-31,27.3,34221.53,Europe
Bulgaria,BGR,2026-03-31,29.7,34221.53,Europe
Burkina Faso,BFA,2025-06-30,8.7,2547.6724,Africa
Burkina Faso,BFA,2025-12-31,9.3,2547.6724,Africa
Burkina Faso,BFA,2026-03-31,10.1,2547.6724,Africa
Burundi,BDI,2025-06-30,6.4,1051.2593,Africa
Burundi,BDI,2025-12-31,6.8,1051.2593,Africa
Burundi,BDI,2026-03-31,7.6,1051.2593,Africa
Cambodia,KHM,2025-06-30,4.6,7008.889,Asia
Cambodia,KHM,2025-12-31,5.1,7008.889,Asia
Cambodia,KHM,2026-03-31,5.7,7008.889,Asia
Cameroon,CMR,2025-06-30,7.0,4916.9336,Africa
Cameroon,CMR,2025-12-31,7.8,4916.9336,Africa
Cameroon,CMR,2026-03-31,8.7,4916.9336,Africa
Canada,CAN,2025-06-30,33.5,56706.824,North America
Canada,CAN,2025-12-31,35.0,56706.824,North America
Canada,CAN,2026-03-31,37.3,56706.824,North America
Central African Republic,CAF,2025-06-30,7.0,1111.2194,Africa
Central African Republic,CAF,2025-12-31,7.8,1111.2194,Africa
Central African Republic,CAF,2026-03-31,8.7,1111.2194,Africa
Chad,TCD,2025-06-30,7.0,2412.866,Africa
Chad,TCD,2025-12-31,7.8,2412.866,Africa
Chad,TCD,2026-03-31,8.7,2412.866,Africa
Chile,CHL,2025-06-30,19.6,30182.787,South America
